model,horizon,trial_id,parameters,validation_micro_wape,validation_macro_wape,validation_mae,validation_rmse,training_duration_sec,seed
LightGBM,5,2,"{""objective"": ""regression_l1"", ""learning_rate"": 0.05, ""num_leaves"": 31, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",11.685632823537917,13.852146549880711,13.086740199080113,17.068990639464715,0.2815050999997766,42
LightGBM,5,3,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 31, ""min_child_samples"": 25, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5}",12.068515033953606,15.621197141166508,13.515529986524644,16.957788726058713,0.2314050999993924,42
LightGBM,5,4,"{""objective"": ""regression_l1"", ""learning_rate"": 0.04, ""num_leaves"": 20, ""min_child_samples"": 25, ""subsample"": 0.75, ""colsample_bytree"": 0.75, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}",11.83844642302017,14.389490429035122,13.257876149140289,17.02461833394444,0.22636559999955352,42
LightGBM,5,5,"{""objective"": ""regression"", ""learning_rate"": 0.04, ""num_leaves"": 20, ""min_child_samples"": 25, ""subsample"": 0.75, ""colsample_bytree"": 0.75, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}",11.511458183347575,13.799922781044383,12.891682019530949,16.58151991216142,0.22815410000112024,42
LightGBM,5,6,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",11.706486515404178,15.55664080724926,13.11009424860114,16.52622515818229,0.18933429999742657,42
LightGBM,5,7,"{""objective"": ""regression"", ""learning_rate"": 0.03, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",11.690041715554338,14.93555891789217,13.091677717249304,16.47868826973479,0.2329688999998325,42
LightGBM,5,8,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 10, ""min_child_samples"": 35, ""subsample"": 0.7, ""colsample_bytree"": 0.65, ""reg_alpha"": 1.5, ""reg_lambda"": 2.0}",12.568674341490299,16.377995463479873,14.075658395034987,17.583223801336096,0.16469800000049872,42
LightGBM,5,9,"{""objective"": ""regression_l1"", ""learning_rate"": 0.02, ""num_leaves"": 7, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 2.0, ""reg_lambda"": 2.0}",14.045937208990248,20.893644862156524,15.730045080348177,19.224247748670567,0.13671479999902658,42
LightGBM,5,10,"{""objective"": ""regression"", ""learning_rate"": 0.02, ""num_leaves"": 7, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 2.0, ""reg_lambda"": 2.0}",12.758091785799058,19.593656739891877,14.287786990916366,17.331857596160877,0.14573699999891687,42
LightGBM,5,11,"{""objective"": ""regression_l1"", ""learning_rate"": 0.02, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",13.499005992527918,20.3255195666684,15.117536811032014,18.527150136375152,0.16139470000052825,42
LightGBM,5,12,"{""objective"": ""regression_l1"", ""learning_rate"": 0.06, ""num_leaves"": 25, ""min_child_samples"": 20, ""subsample"": 0.85, ""colsample_bytree"": 0.85, ""reg_alpha"": 0.2, ""reg_lambda"": 0.2}",11.83086233885982,13.974847841457663,13.249382733289112,16.94761249670202,0.2730712000011408,42
