model,SKU,Micro_WAPE,MAE,RMSE
Seasonal Naive 52w,SKU006,19.52609478104379,9.041666666666666,11.489729713482772
Seasonal Naive 52w,SKU007,7.770405308178112,13.5,17.480147469502526
Seasonal Naive 52w,SKU008,11.130095191603612,12.666666666666666,15.679958900172894
Seasonal Naive 52w,SKU009,14.035087719298245,10.555555555555555,13.281147875424356
Seasonal Naive 52w,SKU010,11.530324400564176,13.625,16.196278722115288
Seasonal Naive 52w,SKU011,29.962825278810406,5.597222222222222,7.161820066621798
Seasonal Naive 52w,SKU012,8.149694579757211,14.63888888888889,18.30831626459529
Seasonal Naive 52w,SKU013,10.81118686517323,10.791666666666666,14.062854933792387
Seasonal Naive 52w,SKU014,7.790881233169282,11.652777777777779,15.108404577879455
Seasonal Naive 52w,SKU015,19.252147549267306,5.291666666666667,6.404208685613616
Seasonal Naive 52w,SKU016,11.692869174621,11.569444444444445,14.505267242549438
Seasonal Naive 52w,SKU017,11.761363636363637,11.5,13.914420976494535
Seasonal Naive 52w,SKU018,6.1009210422734785,10.76388888888889,13.645817430016178
Seasonal Naive 52w,SKU019,12.752509604659808,14.291666666666666,16.727804531511136
Seasonal Naive 52w,SKU020,13.693004814500142,13.430555555555555,16.748548859196397
Seasonal Naive 52w,SKU021,15.548431417449049,9.430555555555555,11.268811432937865
Seasonal Naive 52w,SKU022,12.76595744680851,9.0,10.927793311857004
Seasonal Naive 52w,SKU023,11.278394083465399,11.86111111111111,14.494251734164594
Seasonal Naive 52w,SKU024,11.461491813220134,10.5,13.210896176178881
Seasonal Naive 52w,SKU025,25.56221889055472,4.736111111111111,5.989574275355469
Seasonal Naive 52w,SKU026,8.635849220858361,13.777777777777779,19.807406022327438
Seasonal Naive 52w,SKU027,8.626066973079448,14.597222222222221,18.934462994468287
Seasonal Naive 52w,SKU028,21.1212976022567,8.319444444444445,9.981232388838565
Seasonal Naive 52w,SKU029,9.99749436231521,11.083333333333334,14.393285471589406
Seasonal Naive 52w,SKU030,17.5531914893617,5.958333333333333,7.190850668268208
Seasonal Naive 52w,SKU031,7.240725126475549,9.541666666666666,12.267278064473436
Seasonal Naive 52w,SKU032,16.197623514696684,10.791666666666666,13.593809865768561
Seasonal Naive 52w,SKU033,7.053223712678494,9.055555555555555,12.774758097296576
Seasonal Naive 52w,SKU034,12.401652242328876,17.51388888888889,21.7642035359798
Seasonal Naive 52w,SKU035,9.096816114359974,13.61111111111111,17.249798710580816
Seasonal Naive 52w,SKU036,23.58529533250723,7.930555555555555,9.863653819283535
Seasonal Naive 52w,SKU037,7.985115125203504,14.305555555555555,18.30907485981261
Seasonal Naive 52w,SKU038,12.880852117909338,7.222222222222222,9.128709291752768
Seasonal Naive 52w,SKU039,23.493609251369445,5.361111111111111,7.156970184527963
Seasonal Naive 52w,SKU040,9.293443666454488,10.13888888888889,12.421978729476056
Seasonal Naive 52w,SKU041,11.256497580211509,8.722222222222221,10.94684124911535
Seasonal Naive 52w,SKU042,8.104001350666893,13.333333333333334,17.519037264263886
Seasonal Naive 52w,SKU043,8.744177871517708,13.819444444444445,16.583542712246047
Seasonal Naive 52w,SKU044,13.771358828315705,9.402777777777779,11.447343214329981
Seasonal Naive 52w,SKU045,9.475599145772366,16.63888888888889,19.497150788997065
Seasonal Naive 52w,SKU046,9.304292662296469,6.111111111111111,8.219218670625303
Seasonal Naive 52w,SKU047,9.48847071296051,9.944444444444445,12.213380640374174
Seasonal Naive 52w,SKU048,15.37564162389174,9.152777777777779,11.755022567207412
Seasonal Naive 52w,SKU049,5.616748691508476,9.98611111111111,11.835093765764784
Seasonal Naive 52w,SKU050,17.142857142857142,7.75,10.302372973683728
