model,SKU,Micro_WAPE,MAE,RMSE
Tuned XGBoost,SKU031,13.094020653735928,17.255009439256455,22.056595528948435
Tuned XGBoost,SKU032,21.9336983062636,14.613326496548122,17.10593004809101
Tuned XGBoost,SKU033,14.178131710962008,18.203145768907333,23.491328955493998
Tuned XGBoost,SKU034,15.012953208245039,21.201626141866047,25.25120864531856
Tuned XGBoost,SKU035,12.207226853710159,18.265063179863823,23.502446435850906
Tuned XGBoost,SKU036,24.582906184931126,8.266002204683092,9.761106295091755
Tuned XGBoost,SKU037,8.487229598974181,15.205107582939995,19.505339641916414
Tuned XGBoost,SKU038,16.092933048137734,9.023218154907227,11.35877255315213
Tuned XGBoost,SKU039,29.278183796024148,6.681118885676066,8.23711337928046
Tuned XGBoost,SKU040,15.522794280364815,16.934937371148003,20.126108883595535
Tuned XGBoost,SKU041,22.966915964118723,17.79617002275255,20.782656151455306
Tuned XGBoost,SKU042,8.666264670695805,14.258412679036459,17.66120894051888
Tuned XGBoost,SKU043,10.80371076585706,17.074364556206596,20.915712311373518
Tuned XGBoost,SKU044,18.342682052376407,12.523975690205893,14.613259186833618
Tuned XGBoost,SKU045,10.601965106100275,18.616756227281357,22.635023061464395
Tuned XGBoost,SKU046,19.731760135940227,12.959929678175184,15.64314113636494
Tuned XGBoost,SKU047,14.361947466832333,15.052118831210667,18.310034783925225
Tuned XGBoost,SKU048,19.55396204533223,11.640039073096382,14.566101122244065
Tuned XGBoost,SKU049,7.464931342911137,13.272025850084093,15.955557508202782
Tuned XGBoost,SKU050,23.740908832227763,10.732869201236301,12.392378185918814
Tuned Random Forest,SKU001,16.541952700099497,16.946311543879705,21.261543009372925
Tuned Random Forest,SKU002,17.056743994690144,12.477482030560136,16.065710620998864
Tuned Random Forest,SKU003,18.850608361993306,7.841329450579161,9.874049074174456
Tuned Random Forest,SKU004,23.8671572171733,7.564562884665204,8.984348986760846
Tuned Random Forest,SKU005,17.93970626412919,20.66554496592882,24.7894160641384
Tuned Random Forest,SKU006,21.951212393091403,10.164630849800936,12.711901473118727
Tuned Random Forest,SKU007,10.452591935514276,18.15992673907612,21.929174546728078
Tuned Random Forest,SKU008,18.542083478546395,21.101921114334605,24.89234652578321
Tuned Random Forest,SKU009,18.878971133025583,14.19855953962966,16.633758040015596
Tuned Random Forest,SKU010,18.700306496465537,22.097528843323445,27.187479865325052
Tuned Random Forest,SKU011,25.34822998804149,4.735190185266084,5.688624958960725
Tuned Random Forest,SKU012,9.677104491473893,17.38249894280998,21.769424939237283
Tuned Random Forest,SKU013,17.130930228223484,17.09999938197808,20.80949364411513
Tuned Random Forest,SKU014,17.117573853910052,25.602660115660747,31.378232135377004
Tuned Random Forest,SKU015,24.324796760875504,6.685940665246197,8.08406141834298
Tuned Random Forest,SKU016,18.5988588849398,18.40253759670988,21.93217563567226
Tuned Random Forest,SKU017,20.517580878815664,20.061634637064206,23.975374763933893
Tuned Random Forest,SKU018,8.843037112032658,15.601819504743174,20.82639412670143
Tuned Random Forest,SKU019,16.847868279993907,18.881312382120953,23.65902392494771
Tuned Random Forest,SKU020,15.389547078973306,15.094580759959651,18.884403235346387
Tuned Random Forest,SKU021,18.45576221060392,11.193932440792683,13.675650282968528
Tuned Random Forest,SKU022,17.87769568558832,12.603775458339767,15.626882976630139
Tuned Random Forest,SKU023,18.88433724581251,19.860028003512824,23.943899754688648
Tuned Random Forest,SKU024,22.004153746500805,20.15824973776657,23.70584436405188
Tuned Random Forest,SKU025,23.35995516185805,4.328080581377589,5.337065152835658
Tuned Random Forest,SKU026,13.97098414007855,22.289540946816985,27.63907169648897
Tuned Random Forest,SKU027,11.611785357212781,19.649721221150074,24.770809068662743
Tuned Random Forest,SKU028,17.63289990694337,6.945403352234916,8.928770328181743
Tuned Random Forest,SKU029,13.806578576948947,15.306126416834237,19.463574307840158
Tuned Random Forest,SKU030,17.775380392526525,6.033754122129837,7.044593576885963
Tuned Random Forest,SKU031,15.963872067231181,21.036835857484643,26.017953674288698
Tuned Random Forest,SKU032,20.320337066854183,13.538424570791598,16.139934231276392
Tuned Random Forest,SKU033,16.780691873955732,21.54454384483983,26.716223120447204
